metier_original,occurrences,traduction_fr,est_malgache
GARDIEN PARC,9,GARDIEN DU PARC,True
MPAMBOLY LOJY SY ATSANJY,9,JARDINIÈRES ET LÉGUMES,True
PANJAFITRA FANAKA,9,CONCEPTION DE MEUBLES,True
DOCKERA,9,DOCKER,True
GARDIEN NY COMMUNE,9,GARDIEN DE LA COMMUNAUTÉ,True
MIKARAKARA TRONDRO,9,À LA RECHERCHE DU POISSON,True
MIVAROTRA TOAKA,9,VENDRE DE L'ALCOOL,True
MPITARIKA SARETY,9,CONDUCTEUR DE WAGON,True
MANAO HANIMASAKA,9,FAIRE HANIMASKA,True
COUPEUR DE SISAL,9,COUPE-SISAL,True
GARGOTE,9,GARGOT,True
MPAMPIANATRA AMINY LYCEE,9,PROFESSEUR DE LYCÉE,True
AGENT D'ACCEUIL,9,AGENT D'ACCEUIL,True
MAMBOLY VARY MANGAHAZO,9,CULTURE DU RIZ,True
MPIVAROTRA OMBY,9,Négociant de bétail,True
PANASA LAMBA,9,LAVE-TISSU,True
MPANAMBOATRA BISIKILETA,9,FABRICANT DE VÉLOS,True
COURSIER,9,COURSIER,True
CONSEILLER COMMUNAL,9,CONSEILLER MUNICIPAL,True
PORTEUR,9,PORTER,True
MPIASA TSELIKA,9,TRAVAILLEURS DU COMMERCE,True
MITRANDRAKA SAPHIR,9,SAPHIR MINIER,True
MIHADY SAPHIRE,9,À LA RECHERCHE DU SAPHIR,True
MAMBOLY VARY SY MANGAZO ARY VOMANGA SY KATSAKA,9,PLANTATION DE RIZ ET DE MAÏS ET DE POMMES DE TERRE ET DE MAÏS,True
MPIVAROTRA ENTA-MADINIKA,9,REVENDEUR AU DÉTAIL,True
MANJAITRA CONFECTION,9,COUTURE CONFECTION,True
MPIVAROTRA  FANAFODY RAVINKAZO SY TAPAKAZO,9,REVENDEUR DE FEUILLES ET MEDICAMENTS COUPANTS,True
LAPIDAIRE,9,LAPIDAIRE,True
MANAMPY MAMBOLY SY MIARAKANDRO ARY MATSAKA RANO,9,"AIDE À LA PLANTATION, AU TRAITEMENT ET À L'ARROSAGE",True
MANAMBOATRA BASSIN,9,CONSTRUIRE UN BASSIN,True
MPAMBOATRA SARETY,9,FABRICANTS DE WAGONS,True
MIAVA VOLY MIKARAMA,9,LOCATION À LOUER,True
MANAMBOATRA TELEPHONE,9,RÉPARATION DE TÉLÉPHONES,True
OUVRIER,9,TRAVAILLEUR,True
MPAMPIANATRA @ LYCEE,9,ENSEIGNANTE AU LYCEE,True
MPAMBOLY HARICOT VERT,9,HARICOT VERT AGRICULTEURS,True
FAMBOLENA LEGUME,9,PLANTATION DE LÉGUMES,True
MEDECIN,9,MÉDECINE,True
MPANERA TAXI BROUSSE,9,OPÉRATEUR DE TAXI BROUSSE,True
AIDE CHAUFFEUR CAMION,9,ASSISTANT-CONDUCTEUR DE CAMION,True
MPAMAFA BIRAO SOSIETE EXPORTATEUR FIBRE DE SISAL,9,ENTREPRISE EXPORTATEUR DE FIBRE DE SISAL,True
MANAO GARDIEN,9,FAIRE UN GARDIEN,True
MPAMILY BAJAJ,9,CONDUCTEUR BAJAJ,True
TRANSITAIRE,9,TRANSIT,True
PAMAFA TRANO,9,NETTOYEUR DE MAISON,True
"MAMBOLY VARY, VOANJIBORY, TSARAMASO, KATSAKA",9,"PLANT DU RIZ, DU MAÏS, DU SUCRE, DU MAÏS",True
CONSULTANT,9,CONSULTANT,True
MIAVA VOANJOBORY,9,IMPLIQUEZ-VOUS,True
NAMBOLY VOANJO,9,CULTURE D'ARACHIDES,True
MITARIKA POSIPOSY,9,PLOMB POSITIF,True
FIVAROTANA VOANJO,9,MAGASIN D'ARACHIDES,True
MIVAROTRA VOANJO MANDEHA SY AMORON DALANA,9,VENDRE DES ARACHIDES AU BORD DE LA ROUTE,True
MPIVAROTRA MANDEHA,9,REPRÉSENTANT DE COMMERCE,True
MIVAROTRA VILANY,9,POT À VENDRE,True
CHAUFFEUR MECANICIEN,9,CHAUFFEUR MÉCANICIEN,True
RESPONSABLE ADMINISTRATIF ET FINANCIER,9,RESPONSABLE ADMINISTRATIF ET FINANCIER,True
MANAO DOCKER,9,Docker Docker,True
MPIAMBINA OMBY,9,GARDE-BÉTAIL,True
MPAMBOLY RAVIMBOMANGA,9,PRODUCTEUR DE FRUITS,True
MPIASA LALANA,9,"ERREUR: the JSON object must be str, b",True
MPANAO SOBIKA,9,FABRICANT DE PANIER,True
MIKARATAKA,9,RECHERCHE,True
MANOEUVRE MPANAO TRANO,9,MANŒUVRE DE FABRICANT DE MAISON,True
MAMBOATRA ANTSY BE SY FANGALY,9,FABRICATION DE GRANDS COUTEAUX ET PRESSONS,True
MANAO SY MIVAROTRA LASOPY,9,FABRIQUER ET VENDRE DE LA SOUPE,True
MIVAROTRA MOFOGASY,9,VENDRE DES MOFAGAS,True
FAMBOLENA JIROFO SY VANILLE,9,Plantation de clous de girofle et de vanille,True
MPIVAROTRA EPICERIE ENTANA MADINIKA,9,REVENDEUR DE MARCHANDISES AU DÉTAIL,True
MAMBOLY KAZAHA,9,PLANTATION DE GRAINES,True
MIHAZA SY MIVAROTRA VALALA,9,CHASSE ET VENTE D'ÉPICERIE,True
MANAMBOATRA SY MIVAROTRA CAFE SY MOFO,9,FABRIQUER ET VENDRE DU CAFÉ ET DU PAIN,True
MIKARAKARA FAMBOLENA VANILLE,9,À LA RECHERCHE D'UNE PLANTATION DE VANILLE,True
EPICIERIE,9,ÉPICERIE,True
"Mamboly vary,tsaramaso,tongolo",9,"Plantez du riz, des haricots, des oignons",True
MAMBOLY ZANAKAZO ARTIMEZIA,9,PLANTATION DE PLANTES D'ARTIMESIA,True
MPAMBOATRA FIBRE FANAOVANA TADY GASY,9,FABRICANT DE FIBRE DE CÂBLE DE GAZ,True
MIKARAMA MIAVA,9,Embaucher tôt,True
SARAN-KANTSAHA,9,FRAIS DE TERRAIN,True
AGENT COMMUNAUTAIRE,9,AGENT COMMUNAUTAIRE,True
MIVAROTRA MANGAHAZO,9,VENDRE ACHETER,True
MITRANDRAKA CHROME,8,HABILLAGE CHROMÉ,True
MIHETY VOLO,8,COUPE DE CHEVEUX,True
MPANAMBOATRA LAMAKA,8,FABRICANT DE LINGE,True
"Mamboly vary,voanjo,akondro",8,"Plantez du riz, des cacahuètes, des bananes",True
SARAKATSAHA MANAO VARY,8,SARAKATSAHA FAIT DU RIZ,True
MANAMBOATRA SY MIVAROTRA MENAKA PALMIER,8,FABRICATION ET VENTE D'HUILE DE PALME,True
MAMBOLY BOKALA,8,PLANTATION DE BOKALA,True
MIKARAMA MANTSAKA RANO,8,LOCATION POUR VERSER L'EAU,True
"MAMBOLY VARY,VOANJO",8,"CULTURE DU RIZ, DU MAÏS",True
VOLY TRAKA,8,VOLY TRAKA,True
NIAVOKETSA,8,ENREGISTRÉ,True
MIVAROTRA BAR,8,VENTE DE BARRES,True
CHAUFFEUR CAMION MPITONDRA ENTANA,8,CHAUFFEUR DE CAMION,True
MANARATO FIA,8,TROUVER UN VÉHICULE,True
SURVEILLANT,8,SURVEILLANT,True
MANAMPY MAMBOLY LEGUMES,8,AIDEZ À PLANTER DES LÉGUMES,True
MPAMBOATRA HUILLE DE RICIN,8,FABRICANT D'HUILE DE RICIN,True
MAIRE,8,MAIRE,True
MIOMPY DOKOTRA,8,ÉLEVAGE MÉDECIN,True
manao travail(mamboly amin'olona),8,faire du travail,True
PRESIDENTS FOKONTANY,8,PRÉSIDENTS DE VILLAGE,True
MAMBOLY COCOMBRE,8,CULTIVER LE CONCOMBRE,True
MPITATITRA ENTANA AMINY SARETY,8,PORTEUR AVEC UN WAGON,True
ENTREPRENEUR,8,ENTREPRENEUR,True
NAMBOLY SAONJO,8,SAONJO PLANTÉ,True
FEMME DOMESTIQUE,8,FEMMES DOMESTIQUE,True
FANAOVANA SOLI-BOANIO,8,ACHAT DE SOLI-BONIO,True
MIOMPY KISOA SY AKOHO,8,ÉLEVAGE DE COCHON ET DE POULET,True
MPIVAROTRA APPAREIL ELECTRONIQUE,8,REVENDEUR D'APPAREILS ÉLECTRONIQUES,True
RECEPTIONISTE,8,RÉCEPTIONNISTE,True
MANAO GARGOTE,8,FAIRE UNE GARGOTE,True
MAMPANOFA BAJAJ,8,LOCATION BAJAJ,True
MANAMPY MAMPANOFA BAJAJ,8,AIDE LOCATION BAJAJ,True
MPIAMBINA TRANON'olona,8,GARDES DE MAISON,True
MIVAROTRA KILALAO,8,VENDRE DES JOUETS,True
MANATSOFA HAZO AMIN'NY MASININA,8,MACHINE À SCIER LE BOIS,True
AIDE DOKERA,8,ASSISTANT DU MÉDECIN,True
MIASA TANIN'OLONA,8,TRAVAILLER SUR LA TERRE POPULAIRE,True
MPIAMBINA TRANON'OLONA,8,GARDE À DOMICILE,True
MIHAZA FIA,8,VOITURES DE CHASSE,True
NANDRAFITRA TRANO,8,PLANIFIÉ UNE MAISON,True
MAMPIANATRA CEG,8,ENSEIGNEMENT CEG,True
MANAMBOATRA TRANO VATO,8,RÉPARER LES MAISONS EN PIERRE,True
TAXI BICYCLETTE,8,VÉLO-TAXI,True
MIVAROTRA TONDRO,8,CONSEILS DE VENTE,True
MPIAVAROTRA VOAMAINA,8,Négociant en grains,True
SARAKA TSAHA,8,CHAMPS SÉPARÉS,True
SURVEILLANTE,8,SUPERVISEUR,True
MIVAROTRA VOAN-KAZO,8,VENDRE DES NOIX,True
MIVAROTRA HOLATRA,8,VENDRE DES CHAMPIGNONS,True
MANANGONA VOA NIMO,8,RÉCOLTE DES FRUITS NIMO,True
MANAMBOATRA JUS NATUREL,8,FABRICATION DE JUS NATURELS,True
MIKARAMA MANAO SARAKA ANTSAHA,8,EMBAUCHE POUR FAIRE SÉPARATION,True
MPANJAITRA KILAOTIN-JAZAKELY,8,CHEVALIER TAILLEUR,True
ASA TRANO FIASANA AANTRANO,8,TRAVAIL MAISON TRAVAIL ÉCOLE,True
DOKERA CAMION PITONDRA ENTANA,8,MÉDECIN CHAUFFEUR DE CAMION,True
PAMPIDITRA HIRA,8,INTRODUCTION DE LA CHANSON,True
MIVAROTRA COCO,8,VENDRE DU CACAO,True
MITAIZA,8,AUGMENTER,True
"MAMBOLY PETSAY,TOMATE,TONGOLO",8,"CULTIVER PETSAY, TOMATES, TONGOLO",True
MIARAKANDRO,8,ENSEMBLE,True
"SARANKATSAHA MIASA TANY,MIAVA VARY SNS",8,"SPÉCIALISTES TRAVAILLANT DANS LA TERRE, DISPONIBLES DU RIZ SNS",True
MPIVAROTRA JUS,8,REVENDEUR JUS,True
NANDRAFITRA VARAVARANA,8,CASSER LA PORTE,True
MIVAROTRA LASOPY,8,VENDRE DE LA SOUPE,True
MPITARIM POSY,8,CHAUFFEUR DE BILLETS,True
FANJONOANA AN-DRANOMASINA,8,PÊCHE EN MER,True
MIKARAMA MAMBOLY VARY SY MANGAHAZO (KARAMA TAPAKA),8,PAIEMENT POUR PLANTER DU RIZ ET HARVEY (FAUX SALAIRE),True
MANAMBOATRA CHARRETTE,8,CONSTRUIRE UNE CHARRETTE,True
MPAMPIANATRA AMBARATONGA FAHAROA,8,ENSEIGNANT DE DEUXIÈME NIVEAU,True
MAPIANATRA AMIN'NY EPP,8,ENSEIGNER EN EPP,True
COLLECTEUR VARY,8,COLLECTEUR DE RIZ,True
OLO BE,8,BEAUCOUP DE GENS,True
DELEGUE,8,DÉLÉGUER,True
DOCTEUR PRIVE,8,MÉDECIN PRIVÉ,True
MPANAMPY ANTOKATRANO,8,AIDE MENAGERE,True
MPANAMPY ANTRANO (La bonne),8,HELPER (La bonne),True
MPAMBOLY VARY SY MPIOMPY OMBY,8,RIZICULTEURS ET ÉLEVEURS,True
MPAMBOLY MANGAHAZO SY VOATAVO SY CONCOMBRE,8,"PRODUCTEUR DE LÉGUMES, CITROUILLES ET CONCOMBRES",True
"MANDRARY TSIHY,TSAHORY",8,"Ça fait mal, soyez prudent",True
sarakatsaha,8,occupé,True
MANAMBOTRA TRANO,8,ACHETER UNE MAISON,True
MIVAROTRA TSARAMASO MAINA,8,VENDRE DU SUCRE SEC,True
MANJONO TRONDRO ANDRANOMAMY,8,PÊCHE ET POISSONS D'RANOMAMIE,True
MIVAROTRA ANANA SY VOANKAZO,8,VENDRE DES LÉGUMES ET LÉGUMES,True
MANAMBOATRA SY MIVAROTRA CHARBON,8,FABRICATION ET VENTE DE CHARBONE,True
MANAMPY MANAMBOATRA MOTO,8,AIDE À RÉPARER LES MOTOS,True
SOUS OFFICIERS,8,SOUS-OFFICIERS,True
MAMBOLY VARY MANGAHAZO...,8,CULTURER UN RIZ QUI Pousse...,True
MPANARATO ANDRANOMAMY,8,PÊCHEUR ANDRANOMAMIE,True
MPIKARAMA MANJONO AN-DRANOMASINA,8,MARCHAND DE PÊCHE EN MER,True
MANASA LAMBAN OLONA,8,LAVAGE DES VÊTEMENTS DES GENS,True
MIVAROTRA RONONO SOJA SY MOFO,8,JE VEND DU LAIT ET DU PAIN DE SOJA,True
MPANETANA ARAM-PAHASALAMANA,8,PRESTATAIRE DE SANTÉ,True
SARAK'ATSAHA,8,DIFFÉRENT,True
MPIVAROTRA TAMBAVY,8,REVENDEUR EN GROS,True
"NAMBOLY VARY,OVY,KATSAKA,VOMANGA,MANGAHAZO",8,"RIZ PLANTÉ, POMMES DE TERRE, MAÏS, POMMES DE TERRE, MANGUE",True
MPIVAROTRA KOJAKOJA MANDEHADEHA,8,REVENDEUR DE PIÈCES DE VOYAGE,True
MPAMPIANATRY,8,PROFESSEUR,True
MPABOLY LA VANILLE,8,PRODUCTEUR DE VANILLE,True
MPANJONO HAZAN-DRANOMASINA,8,PÊCHEURS DE POISSONS DE MER,True
PANERA FIARA,8,PANNEAUX DE VOITURE,True
MANAMPY TOKANTRANO HAFA,8,AJOUTER UN AUTRE MÉNAGE,True
MPIVAROKENA,8,VENDEUR,True
MISIVANA VOLAMENA,8,FILTRE DORÉ,True
BISCUITERIE,8,BISCUITERIES,True
CHAUFFEUR PERSONNEL,8,CHAUFFEUR DE PERSONNEL,True
MIOMPY OSY,8,RACE DE CHÈVRES,True
MANAMPY MIVAROTRA FRIPERIE,8,AIDE À VENDRE FRIPERIE,True
MITANTITRA ENTANA,8,EXPÉDITION,True
"Mamboly vary,vanille,cacao,café,poivre noir",8,"Riz végétal, vanille, cacao, café, poivre noir",True
PERSONNEL ADMINISTRATIF,8,PERSONNEL ADMINISTRATIF,True
PISIVANA VOLAMENA,8,FILTRE DORÉ,True
MITSIPONA VATOSOA,8,CÉLECTION DE GEMMES,True
MANEFY ANTSY FAMAKY,8,FORGER UN COUTEAU,True
SARAKANKANTSAHA,8,CARACTÉRISTIQUES,True
MPANERA MADINIKA,8,PETITS OPÉRATEURS,True
AIDE FAMILIALE,8,AIDE FAMILIALE,True
MPIVAROTRA LEGUMES,8,COMMERÇANTS DE LÉGUMES,True
"NAMBOLY VARY,KATSAKA,OVY,VOMANGA,SAONJO",8,"RIZ PLANTÉ, MAÏS, POMMES DE TERRE, POMMES DE TERRE, SAUMON",True
CHAUFFEUR AMIN'NY ONG,8,CHAUFFEUR D'UNE ONG,True
DEMARCHEUR VARY,8,DEMARCHEUR VARIER,True
MPANAMPY MAMBOLY VARY,8,AIDE À LA PLANTATION DE RIZ,True
MANAO HOTELY,8,FAIRE UN HÔTEL,True
MPIDRANDRAKA VOLAMENA,8,MINEUR D'OR,True
MPAMPIANATRA @ CEG,8,ENSEIGNANTE @ CEG,True
MPAMBOLY VANILLE SY GIROFLE,8,AGRICULTEURS DE VANILLE ET DE Clou de Girofle,True
MAMBOLY CAROTTE.VARY,8,PLANTATION DE CAROTTES. RIZ,True
AIDE DE MÉNAGE ET NETTOYEUSE DOMESTIQUE,8,ERREUR: The read operation timed out,True
MIVAROTRA BROCANTEUR,8,ERREUR: The read operation timed out,True
MPANAPAKA SISAL,8,ERREUR: The read operation timed out,True
MANAMBOATRA TADY,8,ERREUR: The read operation timed out,True
MIKARAMA MIADY VOANJOBORY,8,ERREUR: The read operation timed out,True
MPAMBOLY VOANJOBORY,8,PRODUCTEURS DE MAÏS,True
MPIZARA TICKET HABANTSENA,8,DISTRIBUTEURS DE BILLETS HABANTSENA,True
ASA KARIERA,8,TRAVAIL DE CARRIÈRE,True
MIVAROTRA VARY SY MANGAHAZO,8,VENDRE DU RIZ ET DES CÉRÉALES,True
MANDISA VARY,8,RIZ BOUILLANT,True
MANAMPY NY TOKANTRANO MAMBOLY,8,AIDER LES MÉNAGES À CROÎTRE,True
PASTEUR JESOSY MAMONJY,8,LE PASTEUR JÉSUS SAUVE,True
MAMBOLY KATRAKA,8,PLANTATION DE KARAKA,True
MPAKA MPIANATRA,8,RECRUTEMENT D'ÉTUDIANTS,True
MIVAROTRA MENAKA COCO,8,VENDRE DE L'HUILE DE CACAO,True
MAMBOLY VARY SY LA VANILLE,8,CULTURE DU RIZ ET DE LA VANILLE,True
MIOTY JIROFO,8,CHOISIR des clous de girofle,True
"NAMBOLY VARY,OVY,PARAKY,KATSAKA,MANGAHAZO,SAONJO",8,"J'AI PLANTÉ DU RIZ, DES POMMES DE TERRE, DU TABAC, DU MAÏS, DU MANGAGA, DU SAONJA",True
MPIVAROTRA TRONDRO MAINA,8,Négociant de poisson séché,True
ASA-trano,8,Ménage,True
MANATSOFA HAZO,8,VOIR LE BOIS,True
AIDE CHAUFFEUR CANNOTTE,8,ASSISTANT CHAUFFEUR CANNOTTE,True
MPIVAROTRA KATSAKA,8,Négociant en maïs,True
MPANAO ASAN-TANANA VITA AMIN'NY ROFIA,8,ARTISANAT EN ROPHIA,True
MPAMILY FIARAKODIA,8,CONDUCTEUR DE VOITURE,True
MAKA RANO OLONA,8,LES GENS OBTENENT DE L'EAU,True
BOULANGER,8,BOULANGER,True
TRANSPORT BICYCLETTE,8,TRANSPORT DE VÉLOS,True
MAMPIANTRA,8,Éduquer,True
MIASA TANIMBARY,8,TRAVAILLER DANS LES CHAMPS,True
MIVAROTRA KIRARO FRIPERIE,8,VENTE DE CHAUSSURES FRIPERIE,True
CONDUCTEUR D'ELEVATEUR DE CONTENEUR,8,CONDUCTEUR D'ASCENSEUR À CONTENEURS,True
FAMBOLENA£,8,PLANTATION£,True
MAPIANATRA,8,PROFESSEUR,True
"NAMBOLY VARY,KATSAKA,OVY,VOMANGA,POMA",8,"RIZ PLANTÉ, MAÏS, POMMES DE TERRE, POMMES DE TERRE, POMMES",True
CHAUFEUR CAMION,8,CHAUFFEUR DE CAMION,True
MANAO SARIBAO,8,FABRIQUER DU CHARBON,True
MAPIANATRA FRANCAIS,8,PROFESSEUR DE FRANÇAIS,True
MPAMPIDITRA HIRA SY FILM,8,CHANSON ET COLLABORATEURS DE FILM,True
"MAMBOLY VARY,KATSAKA,SOJA,VOMANGA,MANGAHAZO",8,"CULTURE DU RIZ, MAÏS, SOJA, POMMES DE TERRE, MANGUE",True
MIVAROTRA MOFO SY JUS,8,VENDRE DU PAIN ET DES JUS,True
MATELOT,8,MATELOT,True
VOLY VARY,7,RÉCOLTE DE RIZ,True
MPIKARAKARA TOKANTRANO,7,HOMME D'AFFAIRES DE MÉNAGE,True
MAPANAO COURS DE FRANçAIS AO ATRANO,7,NOUS PROPOSONS DES COURS DE FRANÇAIS CHEZ TRANO,True
TALE NY EPP,7,DIRECTEUR DU PPE,True
MAMPIANATRA @ CEG,7,ENSEIGNER AU CEG,True
MIVAROTRA LEGUME MIPETRAKA ANY AMINY BAZARY BE,7,VENDRE DES LÉGUMES PLANTÉS AU BAZAR,True
MIVAROTRA LEGUME MIPETRAKA AO AMINY BAZARY BE,7,VENDRE DES LÉGUMES PLANTÉS AU BAZAR,True
MPIVAROTRA FIA,7,CONCESSIONNAIRE AUTOMOBILE,True
MPANERA ENTANA,7,EXPÉDITEUR,True
RESPONSABLE COMMERCIAL,7,RESPONSABLE COMMERCIAL,True
SUPERVISEUR,7,SUPERVISEUR,True
MPIOMPY DOKITRA,7,DOCTEUR ÉLEVEUR,True
MIVAROTRA PATY MASAKA SY JUIS CITRON,7,VENDRE DES PÂTES CUITES ET DU JUS DE CITRON,True
MPIVAROTRA MOFO GASY,7,VENDEUR DE CUISSON AU GAZ,True
VANILLE,7,VANILLE,True
MPAMBOLY KATY,7,KATY AGRICULTEUR,True
MANARY FAKO,7,ÉLIMINATION DES DÉCHETS,True
MITSABO NETIMPAHARAZANA,7,TRAITER NETIMPHARAHAZANA,True
MANAMBOATRA TELE SY RADIO SIMBA,7,RÉPARATION DE TÉLÉVISION ET RADIO ENDOMMAGÉES,True
MIVAROTRA BIDON JAUNE,7,BIDON JAUNE À VENDRE,True
LA BONE,7,L'OS,True
GARDIEN DE NUIT,7,GARDIEN DE NUIT,True
MPAMBOLYµ,7,AGRICULTEURµ,True
MPAMAFA BUREAU AO @ BFV,7,ESSUYAGE DE BUREAU @ BFV,True
MPANAMPY FIANAKAVIANA MIOMPY OMBY,7,AIDE FAMILIALE ÉLEVANT DES BOVINS,True
MIVAROTRA SY MANAO LASOPY,7,VENDRE ET PRÉPARER DE LA SOUPE,True
MITRANDRAKA RUBIS,7,RUBIS MINIERS,True
MITANGO TSARAMASO,7,PORTER LA SÉCURITÉ,True
MPAMBOLY VOAMAINA,7,Producteurs de céréales,True
INSTITUTEUR DE L'ENSEIGNEMENT PRIMAIRE,7,INSTITUT D'ENSEIGNEMENT PRIMAIRE,True
CYBER,7,CYBER,True
CHAUFFEUR TRACTEUR,7,CONDUCTEUR DE TRACTEUR,True
MIVAROTRA HEN OMBY,7,VENDRE DU BOEUF,True
PAMPIANATRA NY EPP,7,ENSEIGNANT D'EPP,True
MANAMPY MAMBOLY TSARAMASO,7,AIDEZ À PLANTER LE SUCRE,True
MAMBOLY TSARAMASO KATSAKA CORGETTE,7,CULTURE DU SUCRE DE MAÏS CORGETTE,True
MAMBOLY HANANA,7,CULTIVER DES LÉGUMES,True
DOMESTIQUE SALARIE,7,SALAIRE DOMESTIQUE,True
MIANTOKA OMBY,7,ASSURER LA VACHE,True
FAMME DE MENAGE,7,FAMILLE DE MÉNAGE,True
MPANAMBOATRA MOTO,7,FABRICANT DE MOTOS,True
MAMBOLY VARY MANAMPY FIANAKAVIANA,7,CULTIVER DU RIZ POUR SOUTENIR LA FAMILLE,True
MAKA VILONA,7,ALIMENTATION,True
MIKAPA HAZO,7,COUPE DU BOIS,True
MITAONA ENTANA,7,CHARGEMENT DE CHARGES,True
MPAMPIANATRA @ PRIVEE,7,ENSEIGNANT @ PRIVÉ,True
PDG ASCE,7,PDG de l'ASCE,True
MANAMPY NY RAY AMANDRENNINY MITAIZA NY ZANDRINY RE,7,IL AIDE SON GRAND-PÈRE À élever SES ENFANTS,True
MANAO SARAKATSAHA MANGOMBOTRA DIMBARY,7,FAIRE LE DIMBARY DE SARAKATSAHA MANGOBOR,True
MANOEUVRE AGRICO,7,MANŒUVRE AGRICOLE,True
DODOM,7,DODOM,True
MANAMPY,7,AIDE,True
MPAMBOLY VOANJO SY VARY,7,PRODUCTEURS DE MAÏS ET DE RIZ,True
OPERATRICE DE SAISIE,7,OPÉRATEUR DE SAISIE,True
MITARIKA POUSSE-POUSSE,7,POUSSE-POUSSE EN PLOMB,True
CAPITONNEUR,7,CAPITONNEUR,True
PECHEUR MARITIME,7,PÊCHEUR MARITIME,True
MPIAMBINA TANANA,7,GARDES DE LA VILLE,True
MPIVAROTRA EN MAGASIN (grossiste PPN),7,VENDEUR EN MAGASIN (Grossiste PPN),True
SERVEILLANT MANGASIN ET MANGASINIER DE TABAC,7,SERVEILLANT MANGASIN ET MANGASINIER DE TABAC,True
3EME ADJOINT MAIRE,7,3ÈME ADJOINT AU MAIRE,True
PIOMPY KISOA SY AKOHO,7,ÉLEVAGES DE PORCS ET DE POULETS,True
PANDRAFITRA,7,PLANIFICATION,True
MPAMPIANATRA KILASY DE 4 EME,7,PROFESSEUR DE 4ÈME CLASSE,True
CAPORALE(CHEF DES MANOEUVRES AGRI,7,CAPORALE (CHEF DES MANŒUVRES AGRI,True
MANAMPY MANAO RARAHA AO ANTRANO,7,AIDE À FAIRE DES SOINS À DOMICILE,True
MIANDRY KIDAN'OLONA,7,EN ATTENDANT LES GENS,True
EPICIERE,7,ÉPICIÈRE,True
MANAO TAXI BISKILETA,7,FAIRE UN VÉLO TAXI,True
MPITONDRA BISIKILETA,7,CHAUFFEUR DE VÉLO,True
MAMBOATRA MOFO,7,FAIRE DU PAIN,True
PATISSIER,7,PÂTISSERIE,True
MAMBOLY LAVANILA,7,PLANTEZ LA VANILLE,True
MAMMBOLY VARY,7,CULTURE DU RIZ,True
MPAMPIANATRA FRAM @ EPP,7,ENSEIGNANT FRAM @ EPP,True
MIANTOKA TRONDRO,7,POISSON GARANTI,True
MIVAROTRA CREDIT,7,VENDRE DU CRÉDIT,True
DEMARCHEUR AKOHO,7,DÉMARCHEUR DE POULET,True
MIHADY VOVO,7,CREUSER LA POUSSIÈRE,True
MAMBOLY SAONJO,7,PLANTATION DE SAONJO,True
MITONDRA POUSSY,7,CONDUIRE UNE POUSSE,True
AGENT COMPTABLE,7,AGENT COMPTABLE,True
MPAMPIANATRA @ AMBARATONGA FAHAROA @ PRIVEE,7,ENSEIGNANT @ DEUXIÈME ÉTAGE @ PRIVEE,True
SARAKANTSAHA AMINY TOKATRANO MARO2,7,BEAUCOUP DE COURS,True
FAMBOLENA ANANA,7,CULTURE DE LÉGUMES,True
M1VAROTRA TRONDRO,7,M1 COMMERCE DU POISSON,True
MIVAROTRA JUS CITRON,7,VENDRE DU JUS DE CITRON,True
MENERA VATO BERIL,7,MÉNÈRE DE PIERRE DE BERYL,True
MANAMBOATRA SY MIVAROTRA SAKAFO MASAKA,7,PRODUCTION ET VENTE DE PRODUITS CUISINÉS,True
NIASA TANY,7,TRAVAILLÉ SUR LA TERRAIN,True
AGENT COMMERCILE,7,AGENT COMMERCIAL,True
C0NSULTANT,7,CONSULTANT,True
MAJAITRA LAMBA,7,TAILLEUR DE TISSU,True
MANAMBOTRA TELEPHONE,7,DÉCROCHEZ LE TÉLÉPHONE,True
MAMBOLY TSAKO SY BALAHAZO,7,CULTURE DE LÉGUMES ET LÉGUMES,True
MITADY VOAMADILO,7,À LA RECHERCHE D'UN COMPTE,True
ELECTRONICIEN,7,ÉLECTRONIQUE,True
SECRETAIRE DE DIRECTION,7,SECRÉTAIRE EXÉCUTIF,True
MIVAROTRA CATLESY,7,BÉTAIL À VENDRE,True
MAMPIANATRA AMINY EPP,7,ENSEIGNEZ-LUI EPP,True
MPANAO FANAKA,7,FABRICANT DE MEUBLES,True
MIVAROTRA EPI-BAR,7,VENDRE EPI-BAR,True
MIVAROTRA VARY SY KATSAKA,7,VENDRE DU RIZ ET DU MAÏS,True
MPIAMBINA SEKOLY,7,GARDE SCOLAIRE,True
MPANEFY,7,FORGERON,True
MANAMBOATRA MOFO,7,FAIRE DU PAIN,True
MICHARGE TELEPHONE,7,TÉLÉPHONE MICHARGE,True
MANAO ASA ANTRANO,7,FAIRE UN TRAVAIL CARITATIVE,True
MIVAROTRA FANAFODY,7,VENDRE DES DROGUES,True
MANAO MOBILE MONEY,7,GAGNER DE L'ARGENT MOBILE,True
MIVAROTRA VOAKAZO,7,VENDRE DES POTERIES,True
SARAKA ANTRSAHA,7,SÉPARATION INDIVIDUELLE,True
MPIVAROTRA FRIPPE,7,VENDEUR DE FRIPPES,True
COLECTEUR,7,COLLECTIONNEUR,True
MIVAROTRA HENAN'OSY,7,VENTE DE VIANDE DE CHÈVRE,True
MAMBOLY VARY SY VANILLE,7,CULTURE DU RIZ ET DE LA VANILLE,True
"MAMBOLY VARY,ARACHIDE",7,"CULTURE DU RIZ, DES ARACHIDES",True
GARGIEN UNIVERSITE,7,UNIVERSITÉ GARDIENNE,True
